hotel_name,location,points,visitors,picture,comment
重庆万州富力希尔顿逸林酒店,万州,5.7,3条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/483808686.jpg?k=d14af792647eb2aeffaa79dbf42eb5167d66e4469572f36b4f53e77ffde6b230&o=,暂无介绍
重庆喜来登大酒店,"南岸区, 重庆",7.2,16条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500334706.jpg?k=b40d4a3b3abb26342d082c65bc6a9db1c63f4ab849fa0012da5b1a9b897cbd21&o=,暂无介绍
重庆彩云湖智选假日酒店,重庆,9.0,4条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/355087471.jpg?k=3fc1c59015508d1e5b649fda08459c70a3314f057b020f28ec97e32da444d3e0&o=,重庆彩云湖智选假日酒店位于重庆，距离白公馆有13公里，距离渣滓洞有14公里。这家住宿提供的设施包括客房服务、旅游咨询台以及免费WiFi。这家住宿禁烟，距离Hongyan Revolution Memorial Hall有10公里。 每间客房都提供空调、书桌和电视。这家酒店的部分客房配有阳台。重庆彩云湖智选假日酒店的客房拥有床上用品和毛巾。 这家住宿拥有一间供应中式美食的餐厅，可应要求提供普通素食。...
重庆雅诗阁来福士服务公寓,"渝中区, 重庆",9.0,143条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/234521415.jpg?k=a9c50f68f75f65ed85123b287008fa1ea75db899550c8eb9a6c988fc1b8cf08e&o=,暂无介绍
重庆万豪行政公寓,"渝中区, 重庆",8.9,51条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500335791.jpg?k=82a49145631d1ab37938b539091ce8ac27b9929d692cc79152bc46820d62d705&o=,暂无介绍
麗枫酒店·重庆綦江高铁站名扬国际广场店,綦江区,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/252700207.jpg?k=c60644929be8833e63d12f9860bc078831542965b156c52b7ca89ca1dfae90aa&o=,麗枫酒店·重庆綦江高铁站名扬国际广场店坐落于綦江区，距离重庆汉海极地海洋公园有50公里，配备带免费WiFi的空调住宿。 这家酒店的前台工作人员可随时为客人提供信息。 最近的机场是重庆江北国际机场，距离麗枫酒店·重庆綦江高铁站名扬国际广场店有85公里。
重庆临空智选假日酒店,"渝北, 重庆",8.8,20条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/302383048.jpg?k=a49fc1febe3e02b8ae90e3271e6e4d87a8026e6039419ac6b9bd01eb761f58be&o=,暂无介绍
麗枫酒店·重庆永川乐和乐都万达店,永川,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/252695357.jpg?k=e673152c66cc73013d0a69d5c2c2b4d4994ee6c8ad3584da4652ef8915de6465&o=,麗枫酒店·重庆永川乐和乐都万达店坐落于永川，距离乐和乐都有3.5公里，配备带空调和免费WiFi的客房。 这家酒店的前台可提供信息，以帮助客人游览该地区。 最近的机场是泸州云龙机场，距离麗枫酒店·重庆永川乐和乐都万达店有78公里。
重庆观音桥智选假日酒店,"渝北, 重庆",7.8,49条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/479633566.jpg?k=ca980d94597b3de38bb4e77950b8c623a1d3f7b3581238e53e8bd82769fa1bbb&o=,暂无介绍
重庆丽晶酒店，洲际酒店集团旗下,"江北区, 重庆",9.4,12条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/301404602.jpg?k=faff8e021685b64a938a1081f364d57fc5007a1c12392882aeb47f5603936630&o=,重庆丽晶酒店，洲际酒店集团旗下位于重庆，距离洪崖洞有3.8公里，提供健身中心、免费私人停车位、露台和餐厅。这家住宿提供的设施包括24小时前台、礼宾服务以及免费WiFi。这家酒店配有室内泳池、桑拿房和客房服务。 这家酒店距离罗汉寺有4.2公里，距离湖广会馆有4.3公里。最近的机场是重庆江北国际机场，距离重庆丽晶酒店，洲际酒店集团旗下有21公里。
重庆尼依格罗酒店,"江北区, 重庆",8.9,30条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/277940001.jpg?k=82226a5f0636a52809aed6ac8541b1a05ada182520a116635528f4eabb8314d5&o=,暂无介绍
重庆嘉发希尔顿逸林酒店,"南岸区, 重庆",7.6,24条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/80942743.jpg?k=84f940d03ac42979ab30aa007346c7c683cd2c84e4241db17aa2f1b817f51c99&o=,暂无介绍
IU酒店·重庆荣昌高铁站店,荣昌,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/93551929.jpg?k=ec2644d6fa7b6b3baa809bc2e9239e121ca28d747cb702b4cf2955325d61de82&o=,IU酒店·重庆荣昌高铁站店位于荣昌，提供住宿。 每间客房均提供有线电视、水壶、私人浴室、拖鞋和免费洗浴用品等舒适设施。 酒店设有24小时前台。
重庆北碚悦榕庄,重庆,8.4,11条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/22796030.jpg?k=c8f7fbb289b7267b5207f22897bcd34f6515bb63eb38bb5654584c8770fc0f07&o=,重庆北碚悦榕庄周围环绕着美丽的大自然，背后映衬着缙云山山麓。所有客房均提供带私人温泉浴池的露台，享有壮丽的山景。所有区域均提供免费有线网络和WiFi。 重庆北碚悦榕庄距离缙云山有12分钟车程，距离江北机场有40分钟车程。 所有客房均配有东方风格的装饰和高档设施，提供iPod基座、带CD播放机和DVD播放机的平板电视，以及带spa浴缸和淋浴设施的浴室。...
重庆丽笙世嘉酒店,"南岸区, 重庆",8.4,18条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/328859746.jpg?k=33ccb64ed20147e09a1b4a13d4fb52e857f4e9133fd58a70a28bdf72bb0576c1&o=,暂无介绍
重庆永川福朋喜来登酒店,永川,6.5,2条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/484410484.jpg?k=1a9fee12adc43f8e35f0f8ccfd6d6c4a4d709afc5a146c8ee9bf7ac93274d0fb&o=,暂无介绍
重庆保利花园皇冠假日酒店,"渝北, 重庆",8.6,10条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/281642247.jpg?k=a1a1d21078c6bf05b1ebcc935991e07f95c1fada4d6526c721d3b4143693a19f&o=,重庆保利花园皇冠假日酒店位于江北区，距离重庆保利高尔夫俱乐部有7分钟车程，设有室内游泳池。酒店设施齐全，设有健身中心、室内游泳池以及spa和康体中心，提供覆盖各处的免费Wi-Fi和定时机场班车服务。 重庆保利花园皇冠假日酒店距离悦来国际会展中心有15分钟车程，距离重庆火车北站有12分钟车程，距离重庆江北国际机场有12分钟车程。...
重庆凯宾斯基酒店,"南岸区, 重庆",7.9,29条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/36572569.jpg?k=5f2c419759d917df7610da8fd0a84de0eb9803182e7b05848d07263f19ea94e3&o=,暂无介绍
阅江老院青年旅舍(重庆解放碑店),"渝中区, 重庆",8.9,33条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/462990406.jpg?k=9279702fbf7ef8a1a35ecc15c7e38095e02d71d9e6ce84d354f121637b6ceea6&o=,阅江老院青年旅舍(重庆解放碑店)位于重庆，拥有花园、共用休息室、露台和餐厅。这家青旅配有酒吧，靠近多个著名的景点，距离解放碑约1.8公里，距离朝天门广场有1.7公里，距离罗汉寺有1.7公里。住宿为客人配备客房服务、24小时前台和外币兑换服务。 这家青旅距离湖广会馆有2.8公里，距离洪崖洞有3.2公里。最近的机场是重庆江北国际机场，距离阅江老院青年旅舍(重庆解放碑店)有26公里。
重庆富力艾美酒店,"南岸区, 重庆",7.4,8条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500172527.jpg?k=420ea8a8d54ae45f954386adc5db412365b7a5611de7d7fefc45bc3453bcc2e5&o=,暂无介绍
重庆山川的民宿,"渝中区, 重庆",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/507817659.jpg?k=2ee29ce92925a1d224556482fb6ee5988b335d7a005ebbdc8e1ae6f09462a771&o=,重庆山川的民宿坐落于重庆，地处中心地带，享有市景，提供免费WiFi，距离解放碑仅7分钟步行路程，距离罗汉寺有1.3公里。这家住宿享有河景，距离洪崖洞有19分钟步行路程，距离湖广会馆有2.2公里。 这家空调公寓配有1间独立卧室、、1间带免费洗浴用品和吹风机的浴室以及起居室。1间浴室配有淋浴设施，也配备拖鞋，提供毛巾和床上用品。...
锦江之星品尚重庆菜园坝火车站酒店,"渝中区, 重庆",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/77671699.jpg?k=bc9666419a4ec5bc913e41e7364577bdc67e8eada67a754104d7412ea2cfecc9&o=,锦江之星品尚重庆菜园坝火车站酒店位于重庆市，距离重庆人民大会堂1.1公里，设有内部餐厅。 这家酒店的每间客房均设有空调、平板电视、水壶以及带淋浴的私人浴室，提供拖鞋和免费洗浴用品。 酒店设有24小时前台。 锦江之星品尚重庆菜园坝火车站酒店距离三峡博物馆1.2公里，距离人民解放纪念碑2.4公里，距离最近的机场——重庆江北国际机场20公里。
重庆忠县智选假日酒店,Zhongzhou,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/274347477.jpg?k=e8192dffa67cc01022b1aeecf81bcb7216b5e657d021fb09ccafff64f4d3e4b9&o=,重庆忠县智选假日酒店位于Zhongzhou，提供住宿。住宿为客人配备客房服务、24小时前台和行李寄存服务。 这家酒店的客房拥有书桌。客房提供空调和电视。重庆忠县智选假日酒店的部分房间享有市景。这家住宿的客房配备床上用品和毛巾。 最近的机场是万州五桥机场，距离重庆忠县智选假日酒店有101公里。
重庆大都会凯悦酒店,"渝中区, 重庆",8.6,34条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/188888904.jpg?k=4f94af8909f8d78247d06ddcda77dbd472d3256ad5f05f31ae51f060c2bc69f8&o=,暂无介绍
重庆悦客酒店,"渝中区, 重庆",8.8,31条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/454401293.jpg?k=77a450abc5f3f74ad95ad06133ac17179b2e7d31369ebc2632ad4443a92a7ec6&o=,重庆悦客酒店式公寓（长滨路店）位于重庆，距离人民解放纪念碑有800米，距离罗汉寺有900米。公寓提供覆盖各处的免费WiFi。 重庆悦客酒店式公寓（长滨路店）距离湖广会馆有900米，距离重庆江北国际机场有19公里。 每间公寓均设备齐全，采用现代风格，配有平板电视、宽敞的空间以及带电热水壶和微波炉的厨房。私人浴室配有步入式淋浴间和免费洗浴用品。 该公寓仅接待中国大陆、香港、台湾和澳门的客人。...
重庆朝天门voco酒店,"渝中区, 重庆",8.5,4条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/422013598.jpg?k=8e21e8e70225e6d97265cefa816002b6a9cfa8fdfd198ce13a23fbb9dfe3f373&o=,暂无介绍
何夜青旅酒店（重庆店）,"渝中区, 重庆",8.8,5条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/492466845.jpg?k=18f04ab58a8cd2f90c8815e16b31b93331df3cc2f16b68222104d13a7882d3fe&o=,何夜青旅酒店（重庆店）位于重庆中心，配备花园、共用休息室和酒吧，距离解放碑有8分钟步行路程。这家住宿距离重庆市人民大礼堂有2.7公里，距离湖广会馆有2.7公里，距离三峡博物馆有3.5公里。住宿提供晚间娱乐以及免费WiFi。 这家青旅附近的热门地标包括洪崖洞、罗汉寺和朝天门广场。最近的机场是重庆江北国际机场，距离何夜青旅酒店（重庆店）有23公里。
重庆解放碑帝晶酒店,"渝中区, 重庆",8.5,31条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/505958121.jpg?k=dba67e771bdfeb4879356481ba472a22b3676cbee8ebef95c4a4563588138808&o=,Dekin Hotel Chongqing Jiefangbei (formerly InterContinental Chongqing) is located in Chongqing Jiefangbei Pedestrian Street. 
如家快捷酒店重庆两路口地铁站店,"渝中区, 重庆",10,1条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/366260433.jpg?k=f62e2fc26ff73920efa0c73939c0e3f0784211c633ee3be1d4846be2e45d2694&o=,如家快捷酒店重庆两路口地铁站店位于重庆，距离三峡博物馆有800米。 客房配有带有线频道的电视和水壶，设有带淋浴的私人浴室，提供拖鞋、免费洗浴用品和吹风机。 酒店配有24小时前台。 如家快捷酒店重庆两路口地铁站店距离重庆人民大会堂900米，距离观音桥步行街有2.6公里，距离最近的机场 - 重庆江北国际机场20公里。
重庆李子坝两路口地铁站亚朵酒店,"渝中区, 重庆",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/508263452.jpg?k=4fe76cb12dc5a3e678ab1c7164e296b35a83a97cde98c8790fb391b54e3eaf8c&o=,暂无介绍
重庆静时文化酒店,"渝北, 重庆",8.5,33条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/491547347.jpg?k=d48bab0a36a270437eed66467f6fec3d0dee6f5dba16a63848a5b895aa54a26e&o=,重庆静时文化酒店位于重庆渝北区，距离观音桥步行街3.6公里，提供覆盖各处的免费WiFi和内部私人停车场。 这家酒店由当地室内设计师设计，深度融合了当地文化和田园诗般美景。每间客房均配有电视、水壶、私人浴室、浴袍、拖鞋和免费洗浴用品。 酒店设有24小时前台。 重庆静时文化酒店距离三峡博物馆5公里，距离重庆人民大礼堂5公里，距离重庆江北国际机场15公里。
重庆早安醉美江景民宿,"渝中区, 重庆",8.9,173条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/440116217.jpg?k=dd4f9cf3af93c6e9e36a0d4b9578c3125192e6d0ae91a5ca262815e9765036fe&o=,暂无介绍
重庆盛捷长江服务公寓,"渝中区, 重庆",8.8,159条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/342841145.jpg?k=b7a4995d335b5264c7de4108dc903ac72308d9dea788fd3bf8d9bb46b7b2302b&o=,暂无介绍
重庆解放碑亚朵酒店,"渝中区, 重庆",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/436780046.jpg?k=aed5471c83147a95a2f2191d57d52a90d338e926318aa235b615bc618c100bb7&o=,重庆解放碑亚朵酒店位置优越，位于重庆中心，距离解放碑有不到19分钟步行路程，距离罗汉寺有1.6公里。这家住宿配备行李寄存处，还为客人提供儿童游乐区。这家酒店配有健身中心、客房服务以及免费WiFi。 所有房间均配备空调、带有线频道的平板电视、电热水壶、淋浴设施、吹风机和书桌。这家酒店的每间客房都拥有带拖鞋的私人浴室。...
吃山文化青年旅店,"渝中区, 重庆",9.6,21条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/360563801.jpg?k=f9d95278456a8b3cbfaedbd79807a356f6df1d6bc56cf3fae66f79ed68f1df4c&o=,暂无介绍
重庆江北希尔顿逸林酒店,"江北区, 重庆",7.7,35条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/483780450.jpg?k=1c2813ad6972759e61b644359edced5ca71e5b89309a1ba562f910376f641ec0&o=,暂无介绍
重庆美利亚酒店,"江北区, 重庆",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/353399462.jpg?k=023c5a39cada8874581c948cce4b0dbee773046d6c7ad22af7f382a773236bed&o=,暂无介绍
今禧高空江景酒店(重庆解放碑洪崖洞店),"渝中区, 重庆",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/507092259.jpg?k=d44b0368c291b0fe4ec7e31ab445718ee1c799f09f58923249304e77df620009&o=,今禧高空江景酒店(重庆解放碑洪崖洞店)位置优越，位于重庆，提供空调客房、健身中心、免费WiFi和餐厅。这家酒店位置很赞，位于渝中区，距离罗汉寺有2.1公里，距离湖广会馆有2.6公里。内部提供私人停车位。 这家酒店的客房均配有电热水壶。 今禧高空江景酒店(重庆解放碑洪崖洞店)的前台工作人员可随时为客人提供建议。...
重庆森林逸居民宿,"江北区, 重庆",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/503263720.jpg?k=efcf4feb29302ae8b6c42b385d879e8c6c6d4b5bfd9045af13f2cf742c279ece&o=,重庆森林逸居民宿位于重庆，配备空调住宿和免费WiFi，享有市景，距离三峡博物馆有4公里，距离重庆市人民大礼堂有4.6公里。 部分房间提供带淋浴设施、免费洗浴用品、吹风机和拖鞋的私人浴室。 这家公寓距离重庆火车北站有6.5公里，距离Hongyan Revolution Memorial Hall有7.1公里。最近的机场是重庆江北国际机场，距离重庆森林逸居民宿有25公里。
重庆偶然间江景酒店（洪崖洞店）,"渝中区, 重庆",7.8,39条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/262602118.jpg?k=8306d11d1e30395b184269696e80d23a7de335944ba2a9342ff3e9981d9136a2&o=,暂无介绍
重庆宝柏精品酒店,"渝中区, 重庆",8.5,61条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/152621665.jpg?k=510ae7adc82916fa372d454d945b29008861896d3da777b03d27ccf97a2758da&o=,暂无介绍
维也纳国际酒店重庆冉家坝店,"渝北, 重庆",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/468581669.jpg?k=080d7c9269b8ed6db2410c6ccc5d72a500f5e2fb9610861732c08a3cb75c037a&o=,维也纳国际酒店重庆冉家坝店位于重庆，距离三峡博物馆有8.5公里，享有市景。这家住宿提供的设施包括24小时前台、礼宾服务以及免费WiFi。酒店配有家庭间。 这家酒店为客人提供空调客房，配有书桌、电热水壶、保险箱、平板电视以及带淋浴设施的私人浴室。维也纳国际酒店重庆冉家坝店的所有客房都配备床上用品和毛巾。...
7天优品重庆江北国际机场回兴轻轨站,"渝北, 重庆",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/103712701.jpg?k=b5fab603822029cc13441f0d49d99f6efb17e954eaab27376209d6d9b2fa8993&o=,7天优品重庆江北国际机场回兴轻轨站位置便利，位于重庆的渝北区，距离重庆火车北站有13公里，距离重庆市人民大礼堂有18公里，距离洪崖洞有19公里。这家住宿距离罗汉寺有19公里，距离湖广会馆有19公里，距离朝天门广场有20公里。住宿提供24小时前台、机场交通服务、共用休息室以及免费WiFi。...
【路客】重庆市渝中区·洪崖洞两江融汇奇景·路客精品民宿·00190960,"渝中区, 重庆",1.0,1条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/228679142.jpg?k=1c7825d37fcffaa1da45363fc954bef6e53f7a8ae2ec9b8a2a97a0ca6747cd0c&o=,暂无介绍
7天优品·重庆汽博中心金童路轻轨站店,"渝北, 重庆",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/254505239.jpg?k=27a629b6391e674c8815f2de82b78b4d680484527331d79f70653e4885c04807&o=,7天优品·重庆汽博中心金童路轻轨站店坐落于重庆，距离重庆火车北站有8.6公里，配备带空调和免费WiFi的客房。这家住宿距离重庆市人民大礼堂约有14公里，距离洪崖洞有14公里，距离罗汉寺有15公里。这家酒店距离三峡博物馆有16公里，距离解放碑有16公里。 这家酒店的前台可以提供该地区的建议。...
重庆市渝北区·重庆北站·路客精品公寓·00138340,"渝北, 重庆",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/168715986.jpg?k=c74e929aac39c8d14b6584185f89fa1b53f3449d226728aa09551bfb50e6a28a&o=,暂无介绍
寰宇君荟酒店(石柱汽车总站店),石柱,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/496753361.jpg?k=8fc85c1afb07d1bb40eed10a138f967f37a95bec54c9e455eb72f454466ffbe4&o=,暂无介绍
重庆富力凯悦酒店,"江北区, 重庆",8.3,24条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/261181193.jpg?k=5a1de646893e7c37f2e9c4560c353642a1e13fcc880ffbcb2979bb53fd08304b&o=,暂无介绍
凯里亚德酒店(重庆北站店),"渝北, 重庆",7.5,2条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/468581806.jpg?k=37a8245b73d0b445577c902b97a083111531c19683ae6235e40ae5fdb68b3f7f&o=,凯里亚德酒店(重庆北站店)位置很好，位于重庆的渝北区，距离重庆火车北站有13分钟步行路程，距离重庆市人民大礼堂有6.3公里，距离洪崖洞有6.5公里。这家住宿距离罗汉寺约有6.8公里，距离湖广会馆有6.9公里，距离朝天门广场有7.7公里。住宿为客人配备24小时前台和礼宾服务。...
重庆两江新区高科希尔顿酒店,"渝北, 重庆",8.7,21条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/483780115.jpg?k=f2323e246262cfb19c5fe02bf625128e741513a14fb4b378904fc872afeae1dd&o=,暂无介绍
维也纳国际酒店重庆北站店,"渝北, 重庆",10,2条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/468575958.jpg?k=66c442a1f262cd87d9ae458fca192e38c3038e7e6b7f3cbee60c66825362c058&o=,维也纳国际酒店重庆北站店坐落于重庆，距离重庆火车北站有7分钟步行路程，享有市景。这家住宿提供的设施包括24小时前台、礼宾服务以及免费WiFi。酒店拥有家庭间。 这家酒店为客人提供空调客房，配有书桌、电热水壶、保险箱、平板电视以及带淋浴设施的私人浴室。维也纳国际酒店重庆北站店的所有客房都提供床上用品和毛巾。...
如家快捷酒店重庆杨家坪步行街店,重庆,7.2,13条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/158154492.jpg?k=3a7eab69b600682aed66cefb21b2f69214f6e69add47c7e517d84d721e9b2d3f&o=,如家快捷酒店重庆杨家坪步行街店坐落于重庆，距离Hongyan Revolution Memorial Hall有6.8公里，距离三峡博物馆有8.2公里。这家住宿提供的设施包括客房服务、24小时前台以及免费WiFi。这家酒店距离重庆市人民大礼堂有8.9公里，距离解放碑有9.2公里。...
重庆洪崖洞江景亚朵酒店,"渝中区, 重庆",8.5,6条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/436782567.jpg?k=5a6978d4a44ce7205d3160bd6ab57daefa1778dda53fd20447e9fe49ec7e3b07&o=,重庆洪崖洞江景亚朵酒店位置很赞，位于重庆中心，距离罗汉寺有不到6分钟步行路程，距离洪崖洞有500米。这家酒店位置便利，坐落于渝中区，距离重庆市人民大礼堂有3.3公里，距离三峡博物馆有4.1公里。这家酒店配备健身中心和客房服务。...
维也纳国际酒店重庆鸳鸯园博园店,"渝北, 重庆",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/468581512.jpg?k=0b47828ad1375bfe0697adf2534936da9c154e3104209819e7f22ad4f84cf4c8&o=,维也纳国际酒店重庆鸳鸯园博园店坐落于重庆，距离重庆火车北站有10公里，享有市景。这家住宿提供的设施包括24小时前台、礼宾服务以及免费WiFi。酒店拥有家庭间。 这家酒店为客人提供空调客房，配有书桌、电热水壶、保险箱、平板电视以及带淋浴设施的私人浴室。维也纳国际酒店重庆鸳鸯园博园店的所有客房都提供床上用品和毛巾。...
重庆解放碑洪崖洞江景亚朵S酒店,"渝中区, 重庆",8.5,2条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/436782190.jpg?k=9332bb261c3849d8b269b9c0d09237676f3a46d4e9e25f06463690b9fb0de58c&o=,重庆解放碑洪崖洞江景亚朵S酒店位置很好，位于重庆的渝中区区，距离罗汉寺有不到一公里，距离解放碑有9分钟步行路程，距离湖广会馆有1.7公里。这家住宿距离朝天门广场有1.6公里，距离重庆市人民大礼堂有3.4公里，距离三峡博物馆有4.2公里。这家住宿距离市中心3.7公里，距离洪崖洞有不到一公里。...
格林东方重庆解放碑儿童医院酒店,"渝中区, 重庆",0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/484485271.jpg?k=725b7de9f2669591296e45bb7080b124a07d61bf77dce8746f40e5869aa4678b&o=,暂无介绍
